郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,
100,中正區,1表燈非營業用　　　　,"59,544 ",957 ,"23,631,189 ",,
100,中正區,2表燈營業用　　　　　　,"9,790 ","15,780 ","18,586,191 ",,
100,中正區,3表燈小計　　　　　　　,**,"16,737 ","42,217,380 ",,
100,中正區,4低壓綜合裝置非營業用　,＊,217 ,"19,196 ",,
100,中正區,5低壓綜合需量非營業用　,677 ,"30,399 ","4,863,449 ",,
100,中正區,6低壓綜合非營業用電小計,**,"30,616 ","4,882,645 ",,
100,中正區,7低壓綜合裝置營業用　　,27 ,"1,117 ","125,120 ",,
100,中正區,8低壓綜合需量營業用　　,896 ,"39,503 ","8,856,308 ",,
100,中正區,9低壓綜合營業用電小計　,**,"40,620 ","8,981,428 ",,
100,中正區,10低壓綜合用電小計　　　,**,"71,236 ","13,864,073 ",,
100,中正區,11低壓裝置電力　　　　　,256 ,"2,676 ","312,790 ",,
100,中正區,12低壓需量電力　　　　　,6 ,107 ,"8,524 ",,
100,中正區,13低壓電力小計　　　　　,**,"2,783 ","321,314 ",,
100,中正區,14高壓電力　　　　　　　,300 ,"226,303 ","80,974,327 ",,
100,中正區,15特高壓電力　　　　　　,＊,"18,040 ","10,081,400 ",,
100,中正區,16高＆特高壓電力小計　　,**,"244,343 ","91,055,727 ",,
100,中正區,17電力小計　　　　　　　,**,"247,126 ","91,377,041 ",,
100,中正區,18綜合＆電力小計　　　　,**,"318,362 ","105,241,114 ",,
100,中正區,19電燈＆綜合＆電力小計　,**,"335,099 ","147,458,494 ",,
100,中正區,20臨時電燈　　　　　　　,25 ,0 ,"24,575 ",,
100,中正區,21臨時電力　　　　　　　,23 ,"1,346 ","198,433 ",,
100,中正區,22臨時用電小計　　　　　,**,"1,346 ","223,008 ",,
100,中正區,23總計（含臨時用電）　　,**,"335,099 ","147,681,502 ",,
100,中正區,24表燈合計　　　　　　　,**,"16,737 ","42,241,955 ",,
100,中正區,25綜合＆電力合計　　　　,**,"318,362 ","105,439,547 ",,
103,大同區,1表燈非營業用　　　　,"52,590 ",359 ,"15,857,775 ",,
103,大同區,2表燈營業用　　　　　　,"10,486 ","6,985 ","11,573,284 ",,
103,大同區,3表燈小計　　　　　　　,**,"7,344 ","27,431,059 ",,
103,大同區,4低壓綜合裝置非營業用　,＊,0 ,0 ,,
103,大同區,5低壓綜合需量非營業用　,419 ,"16,083 ","2,269,898 ",,
103,大同區,6低壓綜合非營業用電小計,**,"16,083 ","2,269,898 ",,
