郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),,,
100,中正區,1表燈非營業用,"59,857","1,058","20,438,136 ",,,
100,中正區,2表燈營業用,"9,911","17,055","13,646,673 ",,,
100,中正區,3表燈小計,**,"18,113","34,084,809 ",,,
100,中正區,4低壓綜合裝置非營業用,＊,217,"19,494 ",,,
100,中正區,5低壓綜合需量非營業用,679,"29,768","4,908,539 ",,,
100,中正區,6低壓綜合非營業用電小計,**,"29,985","4,928,033 ",,,
100,中正區,7低壓綜合裝置營業用,27,"1,117","128,254 ",,,
100,中正區,8低壓綜合需量營業用,909,"39,698","9,258,525 ",,,
100,中正區,9低壓綜合營業用電小計,**,"40,815","9,386,779 ",,,
100,中正區,10低壓綜合用電小計,**,"70,800","14,314,812 ",,,
100,中正區,11低壓裝置電力,252,"2,636","260,905 ",,,
100,中正區,12低壓需量電力,6,107,"8,514 ",,,
100,中正區,13低壓電力小計,**,"2,743","269,419 ",,,
100,中正區,14高壓電力,296,"224,153","75,136,129 ",,,
100,中正區,15特高壓電力,＊,"18,040","9,139,000 ",,,
100,中正區,16高＆特高壓電力小計,**,"242,193","84,275,129 ",,,
100,中正區,17電力小計,**,"244,936","84,544,548 ",,,
100,中正區,18綜合＆電力小計,**,"315,736","98,859,360 ",,,
100,中正區,19電燈＆綜合＆電力小計,**,"333,849","132,944,169 ",,,
100,中正區,20臨時電燈,33,0,"49,680 ",,,
100,中正區,21臨時電力,23,"1,548","340,089 ",,,
100,中正區,22臨時用電小計,**,"1,548","389,769 ",,,
100,中正區,23總計（含臨時用電）,**,"333,849","133,333,938 ",,,
100,中正區,24表燈合計,**,"18,113","34,134,489 ",,,
100,中正區,25綜合＆電力合計,**,"315,736","99,199,449 ",,,
103,大同區,1表燈非營業用,"52,713",354,"15,821,831 ",,,
103,大同區,2表燈營業用,"10,588","7,728","9,350,130 ",,,
103,大同區,3表燈小計,**,"8,082","25,171,961 ",,,
103,大同區,4低壓綜合裝置非營業用,＊,0,0 ,,,
103,大同區,5低壓綜合需量非營業用,421,"15,674","2,420,209 ",,,
103,大同區,6低壓綜合非營業用電小計,**,"15,674","2,420,209 ",,,
103,大同區,7低壓綜合裝置營業用,17,745,"82,366 ",,,
103,大同區,8低壓綜合需量營業用,465,"19,809","4,428,118 ",,,
103,大同區,9低壓綜合營業用電小計,**,"20,554","4,510,484 ",,,
103,大同區,10低壓綜合用電小計,**,"36,228","6,930,693 ",,,
103,大同區,11低壓裝置電力,264,"2,381","149,050 ",,,
103,大同區,12低壓需量電力,25,832,"123,156 ",,,
103,大同區,13低壓電力小計,**,"3,213","272,206 ",,,
103,大同區,14高壓電力,86,"45,829","14,933,581 ",,,
103,大同區,15特高壓電力,＊,"24,151","12,946,400 ",,,
103,大同區,16高＆特高壓電力小計,**,"69,980","27,879,981 ",,,
103,大同區,17電力小計,**,"73,193","28,152,187 ",,,
103,大同區,18綜合＆電力小計,**,"109,421","35,082,880 ",,,
103,大同區,19電燈＆綜合＆電力小計,**,"117,503","60,254,841 ",,,
103,大同區,20臨時電燈,22,0,"3,261 ",,,
103,大同區,21臨時電力,16,705,"155,789 ",,,
103,大同區,22臨時用電小計,**,705,"159,050 ",,,
103,大同區,23總計（含臨時用電）,**,"117,503","60,413,891 ",,,
103,大同區,24表燈合計,**,"8,082","25,175,222 ",,,
103,大同區,25綜合＆電力合計,**,"109,421","35,238,669 ",,,
104,中山區,1表燈非營業用,"110,616","1,349","40,850,481 ",,,
104,中山區,2表燈營業用,"20,928","38,223","31,308,590 ",,,
104,中山區,3表燈小計,**,"39,572","72,159,071 ",,,
104,中山區,4低壓綜合裝置非營業用,＊,130,"8,968 ",,,
104,中山區,5低壓綜合需量非營業用,"1,216","47,137","7,630,952 ",,,
104,中山區,6低壓綜合非營業用電小計,**,"47,267","7,639,920 ",,,
104,中山區,7低壓綜合裝置營業用,42,"1,753","203,383 ",,,
104,中山區,8低壓綜合需量營業用,"1,564","71,461","16,621,791 ",,,
104,中山區,9低壓綜合營業用電小計,**,"73,214","16,825,174 ",,,
104,中山區,10低壓綜合用電小計,**,"120,481","24,465,094 ",,,
104,中山區,11低壓裝置電力,229,"2,630","193,728 ",,,
104,中山區,12低壓需量電力,9,724,"103,126 ",,,
104,中山區,13低壓電力小計,**,"3,354","296,854 ",,,
104,中山區,14高壓電力,320,"211,242","67,254,715 ",,,
104,中山區,15特高壓電力,＊,"24,200","8,052,400 ",,,
104,中山區,16高＆特高壓電力小計,**,"235,442","75,307,115 ",,,
104,中山區,17電力小計,**,"238,796","75,603,969 ",,,
104,中山區,18綜合＆電力小計,**,"359,277","100,069,063 ",,,
104,中山區,19電燈＆綜合＆電力小計,**,"398,849","172,228,134 ",,,
104,中山區,20臨時電燈,32,0,"43,177 ",,,
104,中山區,21臨時電力,31,"1,889","178,786 ",,,
104,中山區,22臨時用電小計,**,"1,889","221,963 ",,,
104,中山區,23總計（含臨時用電）,**,"398,849","172,450,097 ",,,
104,中山區,24表燈合計,**,"39,572","72,202,248 ",,,
104,中山區,25綜合＆電力合計,**,"359,277","100,247,849 ",,,
105,松山區,1表燈非營業用,"72,499","1,199","19,125,540 ",,,
105,松山區,2表燈營業用,"11,628","18,720","15,410,436 ",,,
105,松山區,3表燈小計,**,"19,919","34,535,976 ",,,
105,松山區,4低壓綜合裝置非營業用,＊,137,"5,914 ",,,
105,松山區,5低壓綜合需量非營業用,552,"21,737","3,795,717 ",,,
105,松山區,6低壓綜合非營業用電小計,**,"21,874","3,801,631 ",,,
105,松山區,7低壓綜合裝置營業用,＊,154,"21,354 ",,,
105,松山區,8低壓綜合需量營業用,823,"40,178","9,154,430 ",,,
105,松山區,9低壓綜合營業用電小計,**,"40,332","9,175,784 ",,,
105,松山區,10低壓綜合用電小計,**,"62,206","12,977,415 ",,,
105,松山區,11低壓裝置電力,63,569,"39,998 ",,,
105,松山區,12低壓需量電力,14,707,"147,567 ",,,
105,松山區,13低壓電力小計,**,"1,276","187,565 ",,,
105,松山區,14高壓電力,160,"133,092","42,107,790 ",,,
105,松山區,15特高壓電力,＊,"8,600","4,339,200 ",,,
105,松山區,16高＆特高壓電力小計,**,"141,692","46,446,990 ",,,
105,松山區,17電力小計,**,"142,968","46,634,555 ",,,
105,松山區,18綜合＆電力小計,**,"205,174","59,611,970 ",,,
105,松山區,19電燈＆綜合＆電力小計,**,"225,093","94,147,946 ",,,
105,松山區,20臨時電燈,11,0,"2,299 ",,,
105,松山區,21臨時電力,17,893,"118,140 ",,,
105,松山區,22臨時用電小計,**,893,"120,439 ",,,
105,松山區,23總計（含臨時用電）,**,"225,093","94,268,385 ",,,
105,松山區,24表燈合計,**,"19,919","34,538,275 ",,,
105,松山區,25綜合＆電力合計,**,"205,174","59,730,110 ",,,
106,大安區,1表燈非營業用,"110,647","1,645","50,531,768 ",,,
106,大安區,2表燈營業用,"17,376","39,362","34,795,345 ",,,
106,大安區,3表燈小計,**,"41,007","85,327,113 ",,,
106,大安區,4低壓綜合裝置非營業用,6,235,"16,705 ",,,
106,大安區,5低壓綜合需量非營業用,"1,062","40,342","6,933,392 ",,,
106,大安區,6低壓綜合非營業用電小計,**,"40,577","6,950,097 ",,,
106,大安區,7低壓綜合裝置營業用,11,398,"93,928 ",,,
106,大安區,8低壓綜合需量營業用,"1,444","64,688","14,837,479 ",,,
106,大安區,9低壓綜合營業用電小計,**,"65,086","14,931,407 ",,,
106,大安區,10低壓綜合用電小計,**,"105,663","21,881,504 ",,,
106,大安區,11低壓裝置電力,131,"1,513","173,800 ",,,
106,大安區,12低壓需量電力,＊,296,"53,046 ",,,
106,大安區,13低壓電力小計,**,"1,809","226,846 ",,,
106,大安區,14高壓電力,280,"207,122","69,978,205 ",,,
106,大安區,15特高壓電力,＊,"22,995","9,518,384 ",,,
106,大安區,16高＆特高壓電力小計,**,"230,117","79,496,589 ",,,
106,大安區,17電力小計,**,"231,926","79,723,435 ",,,
106,大安區,18綜合＆電力小計,**,"337,589","101,604,939 ",,,
106,大安區,19電燈＆綜合＆電力小計,**,"378,596","186,932,052 ",,,
106,大安區,20臨時電燈,16,0,"77,277 ",,,
106,大安區,21臨時電力,26,"2,376","368,997 ",,,
106,大安區,22臨時用電小計,**,"2,376","446,274 ",,,
106,大安區,23總計（含臨時用電）,**,"378,596","187,378,326 ",,,
106,大安區,24表燈合計,**,"41,007","85,404,390 ",,,
106,大安區,25綜合＆電力合計,**,"337,589","101,973,936 ",,,
