郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月)
100,中正區,1表燈非營業用,"60,185 ","1,178 ","31,433,200 "
100,中正區,2表燈營業用,"9,889 ","18,481 ","22,188,345 "
100,中正區,3表燈小計,**,"19,659 ","53,621,545 "
100,中正區,4低壓綜合裝置非營業用,*,217 ,"16,271 "
100,中正區,5低壓綜合需量非營業用,687 ,"30,123 ","5,383,256 "
100,中正區,6低壓綜合非營業用電小計,**,"30,340 ","5,399,527 "
100,中正區,7低壓綜合裝置營業用,27 ,"1,117 ","146,763 "
100,中正區,8低壓綜合需量營業用,911 ,"39,928 ","9,955,730 "
100,中正區,9低壓綜合營業用電小計,**,"41,045 ","10,102,493 "
100,中正區,10低壓綜合用電小計,**,"71,385 ","15,502,020 "
100,中正區,11低壓裝置電力,249 ,"2,609 ","349,650 "
100,中正區,12低壓需量電力,6 ,107 ,"10,851 "
100,中正區,13低壓電力小計,**,"2,716 ","360,501 "
100,中正區,14高壓電力,294 ,"223,119 ","74,642,069 "
100,中正區,15特高壓電力,*,"18,040 ","9,478,200 "
100,中正區,16高＆特高壓電力小計,**,"241,159 ","84,120,269 "
100,中正區,17電力小計,**,"243,875 ","84,480,770 "
100,中正區,18綜合＆電力小計,**,"315,260 ","99,982,790 "
100,中正區,19電燈＆綜合＆電力小計,**,"334,919 ","153,604,335 "
100,中正區,20臨時電燈,34 ,0 ,"39,775 "
100,中正區,21臨時電力,22 ,"1,233 ","157,292 "
100,中正區,22臨時用電小計,**,"1,233 ","197,067 "
100,中正區,23總計（含臨時用電）,**,"334,919 ","153,801,402 "
100,中正區,24表燈合計,**,"19,659 ","53,661,320 "
100,中正區,25綜合＆電力合計,**,"315,260 ","100,140,082 "
103,大同區,1表燈非營業用,"52,741 ",378 ,"22,932,026 "
103,大同區,2表燈營業用,"10,641 ","8,193 ","14,749,342 "
103,大同區,3表燈小計,**,"8,571 ","37,681,368 "
103,大同區,4低壓綜合裝置非營業用,*,0 ,0 
103,大同區,5低壓綜合需量非營業用,425 ,"15,751 ","2,534,963 "
103,大同區,6低壓綜合非營業用電小計,**,"15,751 ","2,534,963 "
103,大同區,7低壓綜合裝置營業用,17 ,745 ,"104,171 "
