郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),售電度數(當年累計),當月：105年12月，當年累計：105年01~12月
100,中正區,1表燈非營業用,"60,201 ","1,231 ","22,285,708 ","299,609,735 ",
100,中正區,2表燈營業用,"9,893 ","18,425 ","17,828,020 ","197,226,748 ",
100,中正區,3表燈小計,**,"19,656 ","40,113,728 ","496,836,483 ",
100,中正區,4低壓綜合裝置非營業用,*,217 ,"14,742 ","203,497 ",
100,中正區,5低壓綜合需量非營業用,687 ,"30,074 ","4,528,696 ","56,939,063 ",
100,中正區,6低壓綜合非營業用電小計,**,"30,291 ","4,543,438 ","57,142,560 ",
100,中正區,7低壓綜合裝置營業用,27 ,"1,117 ","115,255 ","1,473,301 ",
100,中正區,8低壓綜合需量營業用,912 ,"39,874 ","8,159,002 ","103,771,467 ",
100,中正區,9低壓綜合營業用電小計,**,"40,991 ","8,274,257 ","105,244,768 ",
100,中正區,10低壓綜合用電小計,**,"71,282 ","12,817,695 ","162,387,328 ",
100,中正區,11低壓裝置電力,246 ,"2,579 ","215,502 ","3,200,832 ",
100,中正區,12低壓需量電力,6 ,107 ,"7,696 ","104,379 ",
100,中正區,13低壓電力小計,**,"2,686 ","223,198 ","3,305,211 ",
100,中正區,14高壓電力,295 ,"222,513 ","62,966,282 ","827,285,660 ",
100,中正區,15特高壓電力,*,"18,040 ","8,757,400 ","111,099,800 ",
100,中正區,16高＆特高壓電力小計,**,"240,553 ","71,723,682 ","938,385,460 ",
100,中正區,17電力小計,**,"243,239 ","71,946,880 ","941,690,671 ",
100,中正區,18綜合＆電力小計,**,"314,521 ","84,764,575 ","1,104,077,999 ",
100,中正區,19電燈＆綜合＆電力小計,**,"334,177 ","124,878,303 ","1,600,914,482 ",
100,中正區,20臨時電燈,33 ,0 ,"44,159 ","651,445 ",
100,中正區,21臨時電力,21 ,"1,235 ","142,061 ","2,866,436 ",
100,中正區,22臨時用電小計,**,"1,235 ","186,220 ","3,517,881 ",
100,中正區,23總計（含臨時用電）,**,"334,177 ","125,064,523 ","1,604,432,363 ",
100,中正區,24表燈合計,**,"19,656 ","40,157,887 ","497,487,928 ",
100,中正區,25綜合＆電力合計,**,"314,521 ","84,906,636 ","1,106,944,435 ",
103,大同區,1表燈非營業用,"52,733 ",378 ,"16,462,260 ","232,148,830 ",
103,大同區,2表燈營業用,"10,640 ","8,295 ","12,158,557 ","139,328,924 ",
103,大同區,3表燈小計,**,"8,673 ","28,620,817 ","371,477,754 ",
103,大同區,4低壓綜合裝置非營業用,*,0 ,0 ,0 ,
103,大同區,5低壓綜合需量非營業用,428 ,"15,805 ","2,265,297 ","28,457,955 ",
103,大同區,6低壓綜合非營業用電小計,**,"15,805 ","2,265,297 ","28,457,955 ",
103,大同區,7低壓綜合裝置營業用,17 ,745 ,"77,282 ","1,046,986 ",
103,大同區,8低壓綜合需量營業用,459 ,"19,240 ","3,991,772 ","51,075,255 ",
103,大同區,9低壓綜合營業用電小計,**,"19,985 ","4,069,054 ","52,122,241 ",
103,大同區,10低壓綜合用電小計,**,"35,790 ","6,334,351 ","80,580,196 ",
103,大同區,11低壓裝置電力,263 ,"2,376 ","135,442 ","2,123,563 ",
103,大同區,12低壓需量電力,25 ,820 ,"105,944 ","1,464,636 ",
103,大同區,13低壓電力小計,**,"3,196 ","241,386 ","3,588,199 ",
103,大同區,14高壓電力,88 ,"45,355 ","12,641,765 ","165,782,853 ",
103,大同區,15特高壓電力,*,"25,608 ","11,998,400 ","150,502,400 ",
103,大同區,16高＆特高壓電力小計,**,"70,963 ","24,640,165 ","316,285,253 ",
103,大同區,17電力小計,**,"74,159 ","24,881,551 ","319,873,452 ",
103,大同區,18綜合＆電力小計,**,"109,949 ","31,215,902 ","400,453,648 ",
103,大同區,19電燈＆綜合＆電力小計,**,"118,622 ","59,836,719 ","771,931,402 ",
103,大同區,20臨時電燈,19 ,0 ,"21,972 ","218,637 ",
103,大同區,21臨時電力,16 ,"1,288 ","152,379 ","1,701,712 ",
103,大同區,22臨時用電小計,**,"1,288 ","174,351 ","1,920,349 ",
103,大同區,23總計（含臨時用電）,**,"118,622 ","60,011,070 ","773,851,751 ",
103,大同區,24表燈合計,**,"8,673 ","28,642,789 ","371,696,391 ",
103,大同區,25綜合＆電力合計,**,"109,949 ","31,368,281 ","402,155,360 ",
104,中山區,1表燈非營業用,"111,131 ","1,392 ","38,687,289 ","548,834,678 ",
104,中山區,2表燈營業用,"21,101 ","41,350 ","39,997,606 ","446,953,125 ",
104,中山區,3表燈小計,**,"42,742 ","78,684,895 ","995,787,803 ",
104,中山區,4低壓綜合裝置非營業用,*,130 ,"10,531 ","117,469 ",
104,中山區,5低壓綜合需量非營業用,"1,228 ","47,138 ","7,383,379 ","92,106,022 ",
104,中山區,6低壓綜合非營業用電小計,**,"47,268 ","7,393,910 ","92,223,491 ",
104,中山區,7低壓綜合裝置營業用,40 ,"1,622 ","182,860 ","2,358,950 ",
104,中山區,8低壓綜合需量營業用,"1,570 ","71,724 ","15,688,380 ","194,706,001 ",
104,中山區,9低壓綜合營業用電小計,**,"73,346 ","15,871,240 ","197,064,951 ",
104,中山區,10低壓綜合用電小計,**,"120,614 ","23,265,150 ","289,288,442 ",
104,中山區,11低壓裝置電力,225 ,"2,581 ","186,388 ","2,596,999 ",
104,中山區,12低壓需量電力,8 ,642 ,"101,532 ","1,283,344 ",
104,中山區,13低壓電力小計,**,"3,223 ","287,920 ","3,880,343 ",
104,中山區,14高壓電力,319 ,"210,225 ","57,217,296 ","746,608,060 ",
104,中山區,15特高壓電力,*,"24,200 ","7,368,000 ","95,720,000 ",
104,中山區,16高＆特高壓電力小計,**,"234,425 ","64,585,296 ","842,328,060 ",
104,中山區,17電力小計,**,"237,648 ","64,873,216 ","846,208,403 ",
104,中山區,18綜合＆電力小計,**,"358,262 ","88,138,366 ","1,135,496,845 ",
104,中山區,19電燈＆綜合＆電力小計,**,"401,004 ","166,823,261 ","2,131,284,648 ",
104,中山區,20臨時電燈,33 ,0 ,"41,051 ","546,616 ",
104,中山區,21臨時電力,31 ,"1,925 ","198,852 ","2,330,346 ",
104,中山區,22臨時用電小計,**,"1,925 ","239,903 ","2,876,962 ",
104,中山區,23總計（含臨時用電）,**,"401,004 ","167,063,164 ","2,134,161,610 ",
104,中山區,24表燈合計,**,"42,742 ","78,725,946 ","996,334,419 ",
104,中山區,25綜合＆電力合計,**,"358,262 ","88,337,218 ","1,137,827,191 ",
105,松山區,1表燈非營業用,"72,461 ","1,152 ","33,146,345 ","374,072,945 ",
105,松山區,2表燈營業用,"11,672 ","20,235 ","25,153,069 ","254,533,455 ",
105,松山區,3表燈小計,**,"21,387 ","58,299,414 ","628,606,400 ",
105,松山區,4低壓綜合裝置非營業用,*,137 ,"5,846 ","77,332 ",
105,松山區,5低壓綜合需量非營業用,546 ,"21,730 ","3,876,169 ","46,375,963 ",
105,松山區,6低壓綜合非營業用電小計,**,"21,867 ","3,882,015 ","46,453,295 ",
105,松山區,7低壓綜合裝置營業用,*,154 ,"9,960 ","230,604 ",
105,松山區,8低壓綜合需量營業用,821 ,"40,089 ","8,917,027 ","109,883,867 ",
105,松山區,9低壓綜合營業用電小計,**,"40,243 ","8,926,987 ","110,114,471 ",
105,松山區,10低壓綜合用電小計,**,"62,110 ","12,809,002 ","156,567,766 ",
105,松山區,11低壓裝置電力,62 ,561 ,"38,316 ","544,240 ",
105,松山區,12低壓需量電力,12 ,652 ,"130,117 ","1,645,498 ",
105,松山區,13低壓電力小計,**,"1,213 ","168,433 ","2,189,738 ",
105,松山區,14高壓電力,159 ,"131,296 ","35,485,483 ","468,870,475 ",
105,松山區,15特高壓電力,*,"8,600 ","3,940,800 ","51,220,800 ",
105,松山區,16高＆特高壓電力小計,**,"139,896 ","39,426,283 ","520,091,275 ",
105,松山區,17電力小計,**,"141,109 ","39,594,716 ","522,281,013 ",
105,松山區,18綜合＆電力小計,**,"203,219 ","52,403,718 ","678,848,779 ",
105,松山區,19電燈＆綜合＆電力小計,**,"224,606 ","110,703,132 ","1,307,455,179 ",
105,松山區,20臨時電燈,11 ,0 ,"13,111 ","119,297 ",
105,松山區,21臨時電力,15 ,975 ,"153,480 ","1,491,793 ",
105,松山區,22臨時用電小計,**,975 ,"166,591 ","1,611,090 ",
105,松山區,23總計（含臨時用電）,**,"224,606 ","110,869,723 ","1,309,066,269 ",
105,松山區,24表燈合計,**,"21,387 ","58,312,525 ","628,725,697 ",
105,松山區,25綜合＆電力合計,**,"203,219 ","52,557,198 ","680,340,572 ",
106,大安區,1表燈非營業用,"110,908 ","1,734 ","34,416,246 ","611,144,095 ",
106,大安區,2表燈營業用,"17,393 ","41,892 ","25,276,282 ","384,786,334 ",
106,大安區,3表燈小計,**,"43,626 ","59,692,528 ","995,930,429 ",
106,大安區,4低壓綜合裝置非營業用,6 ,235 ,"13,268 ","193,986 ",
106,大安區,5低壓綜合需量非營業用,"1,070 ","40,731 ","6,267,525 ","82,646,376 ",
106,大安區,6低壓綜合非營業用電小計,**,"40,966 ","6,280,793 ","82,840,362 ",
106,大安區,7低壓綜合裝置營業用,11 ,398 ,"72,795 ","1,007,480 ",
106,大安區,8低壓綜合需量營業用,"1,456 ","64,633 ","12,715,938 ","170,799,033 ",
106,大安區,9低壓綜合營業用電小計,**,"65,031 ","12,788,733 ","171,806,513 ",
106,大安區,10低壓綜合用電小計,**,"105,997 ","19,069,526 ","254,646,875 ",
106,大安區,11低壓裝置電力,129 ,"1,496 ","133,608 ","2,011,532 ",
106,大安區,12低壓需量電力,*,296 ,"52,638 ","633,370 ",
106,大安區,13低壓電力小計,**,"1,792 ","186,246 ","2,644,902 ",
106,大安區,14高壓電力,281 ,"206,572 ","57,333,105 ","760,857,272 ",
106,大安區,15特高壓電力,*,"23,095 ","8,922,563 ","105,993,033 ",
106,大安區,16高＆特高壓電力小計,**,"229,667 ","66,255,668 ","866,850,305 ",
106,大安區,17電力小計,**,"231,459 ","66,441,914 ","869,495,207 ",
106,大安區,18綜合＆電力小計,**,"337,456 ","85,511,440 ","1,124,142,082 ",
106,大安區,19電燈＆綜合＆電力小計,**,"381,082 ","145,203,968 ","2,120,072,511 ",
106,大安區,20臨時電燈,17 ,0 ,"30,157 ","892,898 ",
106,大安區,21臨時電力,30 ,"2,513 ","363,065 ","4,633,383 ",
106,大安區,22臨時用電小計,**,"2,513 ","393,222 ","5,526,281 ",
106,大安區,23總計（含臨時用電）,**,"381,082 ","145,597,190 ","2,125,598,792 ",
106,大安區,24表燈合計,**,"43,626 ","59,722,685 ","996,823,327 ",
106,大安區,25綜合＆電力合計,**,"337,456 ","85,874,505 ","1,128,775,465 ",
108,萬華區,1表燈非營業用,"77,587 ","1,036 ","24,434,236 ","324,801,556 ",
108,萬華區,2表燈營業用,"9,169 ","15,775 ","11,177,534 ","143,243,130 ",
108,萬華區,3表燈小計,**,"16,811 ","35,611,770 ","468,044,686 ",
108,萬華區,4低壓綜合裝置非營業用,*,0 ,0 ,0 ,
