郵遞區號,行政區,用電種類,用戶數,契約容量,售電度數(當月),
100,中正區,1表燈非營業用,"60,218 ","1,252 ","18,278,964 ",
100,中正區,2表燈營業用,"9,891 ","18,508 ","12,777,166 ",
100,中正區,3表燈小計,**,"19,760 ","31,056,130 ",
100,中正區,4低壓綜合裝置非營業用,*,217 ,"14,783 ",
100,中正區,5低壓綜合需量非營業用,690 ,"30,041 ","4,332,604 ",
100,中正區,6低壓綜合非營業用電小計,**,"30,258 ","4,347,387 ",
100,中正區,7低壓綜合裝置營業用,27 ,"1,117 ","99,220 ",
100,中正區,8低壓綜合需量營業用,913 ,"39,704 ","7,508,751 ",
100,中正區,9低壓綜合營業用電小計,**,"40,821 ","7,607,971 ",
100,中正區,10低壓綜合用電小計,**,"71,079 ","11,955,358 ",
100,中正區,11低壓裝置電力,245 ,"2,573 ","178,361 ",
100,中正區,12低壓需量電力,6 ,107 ,"7,585 ",
100,中正區,13低壓電力小計,**,"2,680 ","185,946 ",
100,中正區,14高壓電力,295 ,"222,204 ","57,071,172 ",
100,中正區,15特高壓電力,*,"18,040 ","8,594,000 ",
100,中正區,16高＆特高壓電力小計,**,"240,244 ","65,665,172 ",
100,中正區,17電力小計,**,"242,924 ","65,851,118 ",
100,中正區,18綜合＆電力小計,**,"314,003 ","77,806,476 ",
100,中正區,19電燈＆綜合＆電力小計,**,"333,763 ","108,862,606 ",
100,中正區,20臨時電燈,33 ,0 ,"69,987 ",
100,中正區,21臨時電力,21 ,"1,235 ","152,728 ",
100,中正區,22臨時用電小計,**,"1,235 ","222,715 ",
100,中正區,23總計（含臨時用電）,**,"333,763 ","109,085,321 ",
100,中正區,24表燈合計,**,"19,760 ","31,126,117 ",
100,中正區,25綜合＆電力合計,**,"314,003 ","77,959,204 ",
103,大同區,1表燈非營業用,"52,727 ",403 ,"14,812,353 ",
103,大同區,2表燈營業用,"10,633 ","8,340 ","9,176,672 ",
103,大同區,3表燈小計,**,"8,743 ","23,989,025 ",
103,大同區,4低壓綜合裝置非營業用,*,0 ,0 ,
103,大同區,5低壓綜合需量非營業用,427 ,"15,827 ","2,059,642 ",
103,大同區,6低壓綜合非營業用電小計,**,"15,827 ","2,059,642 ",
103,大同區,7低壓綜合裝置營業用,17 ,745 ,"73,557 ",
103,大同區,8低壓綜合需量營業用,458 ,"19,158 ","3,587,329 ",
103,大同區,9低壓綜合營業用電小計,**,"19,903 ","3,660,886 ",
103,大同區,10低壓綜合用電小計,**,"35,730 ","5,720,528 ",
103,大同區,11低壓裝置電力,263 ,"2,376 ","106,480 ",
103,大同區,12低壓需量電力,25 ,810 ,"91,359 ",
103,大同區,13低壓電力小計,**,"3,186 ","197,839 ",
103,大同區,14高壓電力,88 ,"45,355 ","11,666,712 ",
103,大同區,15特高壓電力,*,"25,608 ","12,133,200 ",
103,大同區,16高＆特高壓電力小計,**,"70,963 ","23,799,912 ",
103,大同區,17電力小計,**,"74,149 ","23,997,751 ",
103,大同區,18綜合＆電力小計,**,"109,879 ","29,718,279 ",
103,大同區,19電燈＆綜合＆電力小計,**,"118,622 ","53,707,304 ",
103,大同區,20臨時電燈,18 ,0 ,"12,397 ",
103,大同區,21臨時電力,15 ,839 ,"132,163 ",
103,大同區,22臨時用電小計,**,839 ,"144,560 ",
103,大同區,23總計（含臨時用電）,**,"118,622 ","53,851,864 ",
103,大同區,24表燈合計,**,"8,743 ","24,001,422 ",
103,大同區,25綜合＆電力合計,**,"109,879 ","29,850,442 ",
104,中山區,1表燈非營業用,"111,165 ","1,416 ","37,421,818 ",
